Ag;Au;Pd;Pt
7084;62;46;23
1570;18.1;15;12
4881;42.6;31;10
3201;28.3;31;9
12394;7281.6;42;17
2110;62.2;66;11
3378;138.4;37;23
2910;284.3;50;19
2265;41.6;48;11
2047;48.2;15;10
2979;47.8;10;10
1497;98.9;10;8
1792;60.8;13;5
932;46.3;10;41
17834;179.1;10;7
3608;120.9;79;8
100000;20.8;77;13
2197;54.7;21;51
3660;56;10;10
3226;625.6;731;27
1303;127;15;11
1493;70.6;26;12
2444;18.4;75;9
10112;16.4;33;9
54136;46.4;16;30
1956;31.6;10;11
1265;40.4;10;11
2582;67.7;10;13
9476;89;18;12
2276;508.9;10;12
1362;118;11;8
2112;21.9;13;8
1377;43;13;10
1712;35.2;10;17
1544;86.8;10;7
18554;375.4;21;9
1258;31.4;34;9
817;72.5;12;11
2034;17.6;24;11
960;30.6;10;6
844;12.7;10;5
33913;41.8;26;5
8728;4585.5;10;80
1312;36.1;39;6
4033;226.5;18;7
2328;36.6;43;19
1922;26.9;55;7
2013;90.9;195;6
1212;30.6;20;6
1533;21.6;12;8
3738;21.3;46;10
1703;23.2;12;8
